ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,301250,3882,1,50660215
32982,Grand Theft Auto V,177657,2821,2,29875930
21779,League of Legends,116577,2418,3,19604296
29595,Dota 2,77444,1162,5,13023538
33214,Fortnite,62031,6969,6,10431552
32399,Counter-Strike,65342,1071,7,10988304
263490,Rust,52276,308,8,8791048
780302568,XDefiant,44429,3169,9,7471524
512710,Call of Duty: Warzone,39476,3284,10,6638483
511224,Apex Legends,36812,2667,13,6190609
27471,Minecraft,37383,2070,14,6286656
18122,World of Warcraft,37571,1006,15,6318186
55453844,Street Fighter 6,38158,355,16,6416897
460630,Tom Clancy's Rainbow Six Siege,35211,1466,17,5921355
491487,Dead by Daylight,25662,1700,18,4315415
143106037,EA Sports FC 24,26056,1079,19,4381700
512953,ELDEN RING,26132,1035,20,4394555
29452,Virtual Casino,27122,51,21,4560980
515025,Overwatch 2,16630,1299,23,2796694
26936,Music,17228,799,24,2897173
509672,IRL,18301,226,25,3077627
509663,Special Events,18516,81,26,3113771
497057,Destiny 2,15920,883,27,2677180
138585,Hearthstone,16892,140,28,2840729
493057,PUBG: BATTLEGROUNDS,15215,697,30,2558722
513143,Teamfight Tactics,14691,198,32,2470485
518203,Sports,14254,146,33,2397018
498566,Slots,14092,90,34,2369816
30921,Rocket League,11333,732,35,1905815
491931,Escape from Tarkov,11573,543,36,1946130
509659,ASMR,12241,164,37,2058492
490377,Sea of Thieves,9678,520,39,1627527
509660,Art,9516,591,40,1600206
417528,Albion Online,9301,159,42,1564139
493887283,Casino,9115,26,43,1532848
66082,Games + Demos,7094,431,45,1193051
1337444628,Call of Duty: Modern Warfare III,6460,686,46,1086344
1494,Call of Duty,3228,2241,47,542775
493959,Red Dead Redemption 2,6706,465,48,1127737
538054672,TEKKEN 8,7254,144,50,1219927
386821,Black Desert,7174,176,51,1206346
417752,Talk Shows & Podcasts,6870,260,52,1155331
623879571,NBA 2K24,5181,998,53,871229
497497,Brawl Stars,6683,168,54,1123796
488190,Poker,6473,68,55,1088556
27546,World of Tanks,6209,131,57,1044076
27284,Retro,5754,245,58,967617
513181,Genshin Impact,5423,391,59,912016
498592,I'm Only Sleeping,5589,185,61,939966
65632,DayZ,5402,251,62,908357
459931,Old School RuneScape,5036,141,63,846851
272263131,"Animals, Aquariums, and Zoos",4727,281,64,794922
18846,Garry's Mod,5198,34,65,874059
19619,Tibia,4763,188,66,800935
743,Chess,4688,61,69,788436
489776,Fallout 4,3354,452,70,564001
490744,Stardew Valley,3596,238,72,604756
1469308723,Software and Game Development,3483,132,74,585756
500188,Hunt: Showdown,3321,188,75,558418
23453,Fallout: New Vegas,3433,111,76,577299
213930085,Honkai: Star Rail,3150,183,78,529649
516588,Rise Online,3465,23,79,582779
499003,VRChat,3299,98,80,554838
490100,Lost Ark,3256,102,81,547519
2748,Magic: The Gathering,3142,63,84,528361
394568,RimWorld,3050,62,86,512988
512923,Baldur's Gate 3,2494,259,88,419476
116747788,"Pools, Hot Tubs, and Beaches",2788,48,90,468853
32507,SMITE,2597,136,91,436763
506246,Fallout 76,2136,275,94,359121
766571430,HELLDIVERS 2,2077,272,95,349235
31336,Metin2,2438,35,100,409950